cell_id,date,scenario,failure_day,load_index,sinr_db,rsrp_dbm,rsrq_db,cqi_mean,avg_rank,mcs_dl_mean,bler_dl_pct,ul_bler_pct,harq_retx_ratio,prb_util_dl_pct,ul_prb_util_pct,active_users,traffic_volume_gb,mu_mimo_ratio,rank_1_ratio,bfr_count,beam_switch_count,beam_concentration,rrc_setup_success_pct,drb_setup_success_pct,prach_success_pct,pucch_util_pct,ul_rssi_dbm,cqi_rank_gap,beam_efficiency,sinr_cqi_delta
Cell_0000,01/01/2024,beam_misalignment,-1,1.0,9.862,-87.063,-11.073,4.798,1.34,16.715,11.035,14.577,0.336,56.899,33.898,5.0,1.87,0.215,0.7,9.0,22.0,0.395,90.877,91.843,86.481,27.727,-97.045,3.581,0.064,2.66
Cell_0000,01/02/2024,beam_misalignment,-1,1.0,9.364,-93.809,-9.731,4.308,1.383,15.944,15.316,14.412,0.343,47.452,28.564,5.0,2.335,0.209,0.777,12.0,14.0,0.301,92.831,92.046,87.634,30.799,-98.643,3.115,0.061,2.9
Cell_0000,01/03/2024,beam_misalignment,-1,1.0,7.346,-95.314,-10.674,4.352,1.598,16.28,14.259,14.946,0.288,47.772,27.923,5.0,2.365,0.251,0.707,9.0,19.0,0.361,89.731,90.444,88.66,25.779,-102.988,2.724,0.086,0.82
Cell_0000,01/04/2024,beam_misalignment,-1,1.0,10.75,-95.349,-12.048,5.478,0.816,16.89,12.514,14.695,0.32,53.427,28.495,6.0,1.806,0.202,0.727,11.0,15.0,0.338,92.307,95.054,88.742,29.094,-113.613,6.713,0.036,2.53
Cell_0000,01/05/2024,beam_misalignment,-1,0.967,11.204,-96.983,-10.238,5.066,0.763,20.776,37.907,12.522,0.33,47.578,29.928,5.0,2.218,0.246,0.785,9.0,24.0,0.357,91.557,90.208,86.759,25.019,-106.873,6.64,0.029,3.6
Cell_0000,01/06/2024,beam_misalignment,-1,0.824,11.032,-90.08,-10.886,5.462,1.435,17.023,13.961,14.334,0.273,48.784,21.558,5.0,1.566,0.19,0.874,10.0,20.0,0.346,91.764,96.561,85.822,24.304,-104.537,3.806,0.059,2.84
Cell_0000,01/07/2024,beam_misalignment,-1,0.815,8.858,-98.165,-9.301,5.529,1.799,15.236,8.073,14.726,0.366,40.001,24.94,5.0,1.549,0.302,0.666,10.0,23.0,0.369,89.837,96.556,86.37,24.132,-107.663,3.074,0.125,0.56
Cell_0000,01/08/2024,beam_misalignment,-1,1.0,9.8,-102.241,-10.485,5.207,1.507,17.438,13.401,10.814,0.305,49.762,32.027,4.0,2.085,0.221,0.776,9.0,17.0,0.359,90.072,92.193,87.017,32.152,-104.527,3.456,0.072,1.99
Cell_0000,01/09/2024,beam_misalignment,-1,1.0,9.903,-103.317,-10.246,4.497,1.727,17.675,12.784,12.86,0.309,54.548,34.108,5.0,2.093,0.218,0.77,13.0,18.0,0.358,87.365,93.519,87.01,30.51,-97.252,2.605,0.082,3.16
Cell_0000,01/10/2024,beam_misalignment,-1,1.0,7.997,-95.367,-9.999,5.227,1.405,17.427,11.05,14.635,0.271,50.317,31.248,5.0,2.019,0.258,0.716,12.0,23.0,0.412,89.687,92.775,88.371,32.711,-110.79,3.721,0.081,0.16
